Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-05-26,"Rhino Bucket",5.10a,,https://www.mountainproject.com/route/105961410/rhino-bucket,1,"New Hampshire > *Rumney > The Meadows > Center Section",2.4,-1,Lead,Onsight,Sport,,,2600
2024-05-26,Misdemeanor,5.10b,"so much flow",https://www.mountainproject.com/route/106033945/misdemeanor,1,"New Hampshire > *Rumney > The Meadows > Center Section",3.0,-1,Lead,Onsight,Sport,,85,2900
2024-05-25,"Dog Star",5.10b,,https://www.mountainproject.com/route/105965811/dog-star,1,"New Hampshire > *Rumney > Kennel Wall",2.4,-1,Lead,Flash,Sport,,,2900
2024-05-25,"Ian's Arete",5.10a,"climbed from bottom of arete",https://www.mountainproject.com/route/106144850/ians-arete,1,"New Hampshire > *Rumney > Kennel Wall",1.9,-1,Lead,Flash,Sport,,,2600
2024-05-25,"Night Crawler",5.9,,https://www.mountainproject.com/route/106793287/night-crawler,1,"New Hampshire > *Rumney > New Wave",2.1,-1,Lead,Onsight,Sport,,40,2400
2024-05-25,"Tipping Point",5.8,,https://www.mountainproject.com/route/110494969/tipping-point,2,"New Hampshire > *Rumney > Main Cliff Right",2.7,-1,Follow,,Sport,,,2100
2024-05-25,"Fish Corner","5.10b V1-","lead hung",https://www.mountainproject.com/route/106543794/fish-corner,1,"New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left)",1.6,-1,Attempt,,"Sport, Boulder",,45,2900
2024-05-25,"Flying Squirrel",5.11a,"*send from alcove below b1",https://www.mountainproject.com/route/106744677/flying-squirrel,1,"New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left)",3.0,-1,Lead,Redpoint,Sport,,50,4600
2024-05-25,"Scene of the Crime",5.10a,,https://www.mountainproject.com/route/105947723/scene-of-the-crime,1,"New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left)",2.6,-1,Lead,Flash,Sport,,,2600
2024-05-25,"Venus Envy",5.10a,,https://www.mountainproject.com/route/105932968/venus-envy,1,"New Hampshire > *Rumney > Venus Wall",2.1,-1,Lead,Fell/Hung,Sport,,,2600
2024-05-24,"Clip a Dee Doo Dah",5.3,"w/ jj",https://www.mountainproject.com/route/105888037/clip-a-dee-doo-dah,2,"New Hampshire > *Rumney > Jimmy Cliff",3.1,-1,Solo,,Sport,,300,1300
2024-05-18,Rachel,5.10b,,https://www.mountainproject.com/route/108831064/rachel,1,"New York > Powerlinez > s. Books Tier > 6. The Good Book",2.5,-1,Lead,,"Sport, TR",,60,2900
2024-05-18,Rebecca,5.10d,,https://www.mountainproject.com/route/108831072/rebecca,1,"New York > Powerlinez > s. Books Tier > 6. The Good Book",2.6,-1,Lead,Fell/Hung,"Sport, TR",,60,3500
2024-05-18,"The Nephalim",5.10b,,https://www.mountainproject.com/route/108461993/the-nephalim,1,"New York > Powerlinez > s. Books Tier > 6. The Good Book",2.4,-1,Lead,Fell/Hung,"Sport, TR",,,2900
2024-05-01,"Miss Bailey","5.7 PG13",,https://www.mountainproject.com/route/106294643/miss-bailey,3,"New York > The Gunks > The Trapps > b. Jackie and friends",3.3,-1,Lead,,Trad,,150,1800
2024-05-01,Wrist,5.6,"Led p2",https://www.mountainproject.com/route/106101992/wrist,2,"New York > The Gunks > The Trapps > c. Frog's Head - the Arch",2.8,-1,Lead,Flash,Trad,,200,1600
2024-05-01,Arch,5.5,"Led P2",https://www.mountainproject.com/route/106227989/arch,2,"New York > The Gunks > The Trapps > c. Frog's Head - the Arch",2.4,-1,Lead,Flash,Trad,,,1500
2024-04-28,"The Contortionist",5.9+,,https://www.mountainproject.com/route/108461984/the-contortionist,1,"New York > Powerlinez > s. Books Tier > 6. The Good Book",2.3,-1,Lead,,"Sport, TR",,,2500
2024-04-28,Whalehunter,5.9,,https://www.mountainproject.com/route/108191636/whalehunter,1,"New York > Powerlinez > s. Books Tier > 6. The Good Book",3.0,-1,TR,,"Trad, TR",,,2400
2024-04-28,"Seven Pieces of Pro",5.8,,https://www.mountainproject.com/route/110476228/seven-pieces-of-pro,1,"New York > Powerlinez > k. Tower Wall area > 4. Dave's Wall",2.8,-1,TR,,"Trad, TR",,45,2100
2024-04-28,"Back to the Wall","5.8 PG13",,https://www.mountainproject.com/route/108828049/back-to-the-wall,1,"New York > Powerlinez > k. Tower Wall area > 6. The Tower Wall",2.7,-1,Lead,Redpoint,"Trad, TR",,60,2100
2024-04-28,"Papa Bear",5.4,,https://www.mountainproject.com/route/108425148/papa-bear,1,"New York > Powerlinez > k. Tower Wall area > 5. Three Bears Wall",2.3,-1,TR,,"Trad, TR",,85,1400
2024-04-28,"Papa Bear",5.4,,https://www.mountainproject.com/route/108425148/papa-bear,1,"New York > Powerlinez > k. Tower Wall area > 5. Three Bears Wall",2.3,-1,Lead,,"Trad, TR",,85,1400
2024-04-25,"Basilisk Crack",V2,,https://www.mountainproject.com/route/120601503/basilisk-crack,1,"New York > Powerlinez > * Powerlinez Bouldering > Shakedown Street > 1. Underking / Sapokanikan",1.8,-1,Send,,Boulder,,10,20200
2024-04-25,"Pulling G's",V2,,https://www.mountainproject.com/route/112409512/pulling-gs,1,"New York > Powerlinez > * Powerlinez Bouldering > The Loop > History of Flight: Lower tier",2.1,-1,Send,,Boulder,,10,20200
2024-04-25,"Smoke 'em If You Got 'em",V2,,https://www.mountainproject.com/route/112409557/smoke-em-if-you-got-em,1,"New York > Powerlinez > * Powerlinez Bouldering > The Loop > Army Bunker",2.0,-1,Send,,Boulder,,15,20200
2024-04-25,"Army Strong",V2,,https://www.mountainproject.com/route/112409565/army-strong,1,"New York > Powerlinez > * Powerlinez Bouldering > The Loop > Army Bunker",3.0,-1,Send,,Boulder,,15,20200
2024-04-25,"The Bad Lieutenant",V2,,https://www.mountainproject.com/route/124199059/the-bad-lieutenant,1,"New York > Powerlinez > * Powerlinez Bouldering > The Loop > Armed Services",3.0,-1,Send,,Boulder,,12,20200
2024-04-25,"Suwatte Kamasu ""Sit Barracuda""",V2,,https://www.mountainproject.com/route/123469833/suwatte-kamasu-sit-barracuda,1,"New York > Powerlinez > * Powerlinez Bouldering > The Loop > Kung Fu Slab",2.0,-1,Send,,Boulder,,,20200
2024-04-25,Arbok,V2,,https://www.mountainproject.com/route/119473731/arbok,1,"New York > Powerlinez > * Powerlinez Bouldering > The Loop > Snake Hole Left",2.2,-1,Send,,Boulder,,,20200
2024-04-25,"Monkey Slappah",5.10a,,https://www.mountainproject.com/route/113324530/monkey-slappah,1,"New York > Powerlinez > f. Yankee Ramparts > 8. Alexander Hamilton",2.0,-1,Solo,,TR,,25,2600
2024-04-25,"Escape Hatch",V2,,https://www.mountainproject.com/route/114456872/escape-hatch,1,"New York > Powerlinez > * Powerlinez Bouldering > Monsoon / Swamp > Swamp Boulder",2.4,-1,Send,,Boulder,,,20200
2024-04-25,"Lie Back",V2,,https://www.mountainproject.com/route/122408441/lie-back,1,"New York > Powerlinez > * Powerlinez Bouldering > Monsoon / Swamp > Lay Back Boulder",1.5,-1,Send,,Boulder,,,20200
2024-04-25,"Norm's Crack","V2 PG13",,https://www.mountainproject.com/route/125500364/norms-crack,1,"New York > Powerlinez > * Powerlinez Bouldering > Monsoon / Swamp > Tree God",3.0,3,Send,,Boulder,"V2 PG13",15,20200
2024-04-25,"Steak for Breakfast",V2,,https://www.mountainproject.com/route/123707729/steak-for-breakfast,1,"New York > Powerlinez > * Powerlinez Bouldering > Boulder Road > Sunrise Boulder",2.0,-1,Flash,,Boulder,,,20200
2024-04-25,"Say Cheese (Right)",V2,,https://www.mountainproject.com/route/123707488/say-cheese-right,1,"New York > Powerlinez > * Powerlinez Bouldering > Boulder Road > Freefall / Fringe",2.0,-1,Flash,,Boulder,,,20200
2024-04-25,"Into the Great Wide Open",V2,,https://www.mountainproject.com/route/113562842/into-the-great-wide-open,1,"New York > Powerlinez > * Powerlinez Bouldering > Boulder Road > Freefall / Fringe",3.0,-1,Send,,Boulder,,,20200
2024-04-25,"T.L.D.M. (or not)",V2,,https://www.mountainproject.com/route/124961554/tldm-or-not,1,"New York > Powerlinez > * Powerlinez Bouldering > Swath Boulders > Whetstone Wall",2.0,-1,Send,,Boulder,,10,20200
2024-04-25,"Monkey Slot","V2 PG13",,https://www.mountainproject.com/route/122407961/monkey-slot,1,"New York > Powerlinez > * Powerlinez Bouldering > Swath Boulders > Whetstone Wall",2.5,-1,Flash,,Boulder,,,20200
2024-04-25,"Lean Out",V1-2,,https://www.mountainproject.com/route/113574700/lean-out,1,"New York > Powerlinez > * Powerlinez Bouldering > Welcome Boulders > Torch Boulder",2.4,-1,Send,,Boulder,,,20150
2024-04-25,"The  Throwdown",V2+,"Start of v2 challenge w jj. Got through 18/. Attempted 3 more tall ones didn’t send. Fingers too beat up to finish several more",https://www.mountainproject.com/route/111610952/the-throwdown,1,"New York > Powerlinez > * Powerlinez Bouldering > Welcome Boulders > Torch Boulder",2.0,-1,Send,,Boulder,,10,20210
2024-04-15,Epinephrine,5.9,"Super legit. Led p3, 5+6, 10, 11. Look for cairns!",https://www.mountainproject.com/route/105732422/epinephrine,13,"Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Black Velvet Wall",3.9,-1,Lead,Flash,Trad,,1600,2400
2024-04-14,"Ghouls Just Wanna Have Fun",5.7,,https://www.mountainproject.com/route/105733019/ghouls-just-wanna-have-fun,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Guardian Angel Pass > Gnat Man Crag",2.2,-1,Follow,,Trad,,100,1800
2024-04-14,"Knock the Bottom Out of It","5.10a PG13",,https://www.mountainproject.com/route/106295546/knock-the-bottom-out-of-it,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Guardian Angel Pass > Gnat Man Crag",2.3,-1,Lead,Onsight,"Trad, Sport",,100,2600
2024-04-13,"Shut Up and Climb",5.11b,,https://www.mountainproject.com/route/105885132/shut-up-and-climb,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Wake Up Wall Area > The Wake-Up Wall",3.0,-1,Lead,Flash,Sport,,60,4900
2024-04-13,"First Born",5.10b,,https://www.mountainproject.com/route/105910331/first-born,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Wake Up Wall Area > The Wake-Up Wall",1.9,-1,Lead,Flash,"Trad, Sport",,65,2900
2024-04-13,"Pockets of Dirt",5.11b,,https://www.mountainproject.com/route/106125706/pockets-of-dirt,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Front Corridor > Left Wall",2.7,-1,Lead,Flash,Sport,,50,4900
2024-04-13,"Shouting Match",5.10d,,https://www.mountainproject.com/route/108267793/shouting-match,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Front Corridor > Right Wall",2.6,-1,Lead,Onsight,Sport,,70,3500
2024-04-13,"Broken tooth","5.10 PG13","Fun & a tad spicy",https://www.mountainproject.com/route/116749065/broken-tooth,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Front Corridor > Right Wall",2.9,-1,Lead,Onsight,Sport,,100,3000
2024-04-13,XTZ,5.8,,https://www.mountainproject.com/route/105885155/xtz,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Wake Up Wall Area > The Wake-Up Wall",1.2,-1,Lead,Onsight,Sport,,60,2100
2024-04-13,"The Last Drag",5.10a,,https://www.mountainproject.com/route/107367991/the-last-drag,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Wake Up Wall Area > The Wake-Up Wall",2.4,-1,Lead,Onsight,Sport,,50,2600
2024-04-12,"Romper Room",5.7,,https://www.mountainproject.com/route/105733007/romper-room,1,"Nevada > Southern Nevada > Red Rocks > (14) First Creek Canyon > Romper Room",2.9,-1,Lead,Onsight,Trad,,90,1800
2024-04-12,"Girls and Buoys",5.6,,https://www.mountainproject.com/route/105795006/girls-and-buoys,1,"Nevada > Southern Nevada > Red Rocks > (14) First Creek Canyon > Romper Room",1.5,-1,Lead,Onsight,Trad,,80,1600
2024-04-12,"Guise and Gals",5.5,,https://www.mountainproject.com/route/105795000/guise-and-gals,1,"Nevada > Southern Nevada > Red Rocks > (14) First Creek Canyon > Romper Room",1.8,-1,Lead,Flash,Trad,,75,1500
2024-04-12,"Unnamed Top Rope",5.8+,,https://www.mountainproject.com/route/116833808/unnamed-top-rope,1,"Nevada > Southern Nevada > Red Rocks > (14) First Creek Canyon > Romper Room",2.0,2,TR,,TR,,75,2200
2024-04-12,"Kindergarten Cop",5.7+,,https://www.mountainproject.com/route/105888134/kindergarten-cop,1,"Nevada > Southern Nevada > Red Rocks > (14) First Creek Canyon > Romper Room",2.8,-1,Lead,Onsight,Trad,,150,1900
2024-04-12,"Rob Roy",5.10b,,https://www.mountainproject.com/route/105732653/rob-roy,1,"Nevada > Southern Nevada > Red Rocks > (14) First Creek Canyon > Alcohol Wall",3.4,-1,Lead,Flash,Trad,,150,2900
2024-04-11,"Risky Business","5.10c R","Led P2 5.10b + p4. So happy to get on this",https://www.mountainproject.com/route/105732866/risky-business,4,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Mescalito > Dark Shadows Wall",3.8,-1,Lead,Flash,Trad,"5.10 PG13",400,3200
2024-04-11,"Out of Control",5.10c,"Few takes. Most gear preplaced. Super sick finish",https://www.mountainproject.com/route/105888710/out-of-control,1,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Out of Control Area",3.8,-1,Lead,Fell/Hung,Trad,,130,3200
2024-04-10,"Solar Slab Gully",5.4,,https://www.mountainproject.com/route/105732227/solar-slab-gully,5,"Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Lower Tier",2.1,-1,Lead,Onsight,Trad,,540,1400
2024-04-10,"Solar Slab",5.6,"Got off route for a pitch or two and sketchily traversed back",https://www.mountainproject.com/route/105732257/solar-slab,7,"Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Upper Tier",3.5,-1,Lead,Onsight,Trad,,1220,1600
2024-04-08,"Black Track",5.9,,https://www.mountainproject.com/route/105732632/black-track,1,"Nevada > Southern Nevada > Red Rocks > (07) Willow Spring > Hidden Falls Wall",2.9,-1,Lead,Flash,Trad,,60,2400
2024-04-08,"The End",5.10,,https://www.mountainproject.com/route/105926172/the-end,1,"Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > The Black Hole",2.5,-1,Lead,Onsight,Sport,,50,3000
2024-04-08,"Manifest Destiny",5.9+,,https://www.mountainproject.com/route/106718688/manifest-destiny,1,"Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Civilization Crag",3.0,-1,Lead,Onsight,Sport,,70,2500
2024-04-08,"The Fall of Rome",5.10b,,https://www.mountainproject.com/route/106718692/the-fall-of-rome,1,"Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Civilization Crag",2.6,-1,Lead,Flash,Sport,,70,2900
2024-04-08,Byzantium,5.10b,,https://www.mountainproject.com/route/106686416/byzantium,1,"Nevada > Southern Nevada > Red Rocks > (03) First Pullout (Calico I) > Civilization Crag",2.4,-1,Lead,Onsight,Sport,,45,2900
2024-03-30,"Casa de mi Padre",5.6,,https://www.mountainproject.com/route/122699767/casa-de-mi-padre,1,"New York > The Gunks > The Trapps > l. Sleepy Hollow",2.3,-1,Lead,Onsight,Trad,,80,1600
2024-03-30,"Roger's Escape Hatch",3rd,,https://www.mountainproject.com/route/109610469/rogers-escape-hatch,1,"New York > The Gunks > The Trapps > l. Sleepy Hollow",1.6,-1,Solo,,Trad,,,800
2024-03-30,"Casa Emilio",5.3,P2,https://www.mountainproject.com/route/105800896/casa-emilio,1,"New York > The Gunks > The Trapps > l. Sleepy Hollow",2.6,-1,Lead,Onsight,Trad,,150,1300
2024-03-30,"Sticky Gate with Direct finish",5.7,"Thought I was on casa Emilio. Barefoot",https://www.mountainproject.com/route/107397712/sticky-gate-with-direct-finish,2,"New York > The Gunks > The Trapps > k. The Slime Wall",1.8,-1,Lead,Onsight,Trad,,70,1800
2024-03-17,Debbie,5.6,,https://www.mountainproject.com/route/106044663/debbie,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.0,-1,Lead,Onsight,Trad,,30,1600
2024-03-17,Banana,5.7,"Spooky flakes",https://www.mountainproject.com/route/106044652/banana,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",1.6,-1,Lead,Onsight,Trad,,30,1800
2024-03-17,"Gunsight to South Peak Direct",5.4,,https://www.mountainproject.com/route/105924159/gunsight-to-south-peak-direct,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.8,4,Lead,Onsight,Trad,,150,1400
2024-03-17,"West Face to Gunsight Notch",5.1,"To get back to gunsight east rap",https://www.mountainproject.com/route/110720267/west-face-to-gunsight-notch,1,"West Virginia > Seneca Rocks > North Peak - West Face",2.3,-1,Lead,Onsight,Trad,,190,1100
2024-03-16,"Bathtub Mary",5.11a,,https://www.mountainproject.com/route/106862482/bathtub-mary,1,"Kentucky > Red River Gorge > Muir Valley > The Arsenal",3.7,-1,Lead,Fell/Hung,Sport,,70,4600
2024-03-16,"Burning Bush",5.11a,,https://www.mountainproject.com/route/106783054/burning-bush,1,"Kentucky > Red River Gorge > Muir Valley > Johnny's Wall",2.6,-1,Lead,Redpoint,Sport,,50,4600
2024-03-16,"Dime a Dozen",5.11b,,https://www.mountainproject.com/route/111170638/dime-a-dozen,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",2.7,3,Lead,Redpoint,Sport,,50,4900
2024-03-16,"Burning Bush",5.11a,,https://www.mountainproject.com/route/106783054/burning-bush,1,"Kentucky > Red River Gorge > Muir Valley > Johnny's Wall",2.6,-1,Lead,Fell/Hung,Sport,,50,4600
2024-03-16,"Dime a Dozen",5.11b,,https://www.mountainproject.com/route/111170638/dime-a-dozen,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",2.7,3,Lead,Fell/Hung,Sport,,50,4900
2024-03-16,"Gettin' Lucky in Kentucky",5.10b,,https://www.mountainproject.com/route/106065461/gettin-lucky-in-kentucky,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",3.4,-1,Lead,Onsight,Sport,,60,2900
2024-03-14,"Pottsville Escarpment",5.10a,,https://www.mountainproject.com/route/109481163/pottsville-escarpment,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Drive-By Crag",3.0,-1,Lead,Flash,Sport,,80,2600
2024-03-14,"Mud on the Rug",5.6,"R’s first lead",https://www.mountainproject.com/route/106765595/mud-on-the-rug,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Drive-By Crag",2.0,-1,Follow,,Trad,,100,1600
2024-03-14,"Jungle Direct",5.10a,,https://www.mountainproject.com/route/111769209/jungle-direct,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Drive-By Crag",2.2,3,Lead,Flash,Trad,,90,2600
2024-03-13,"Caver's Route","5.3 R","Pure joy",https://www.mountainproject.com/route/105882024/cavers-route,4,"Kentucky > Red River Gorge > Northern Gorge > Tower Rock",3.6,4,Lead,Flash,Trad,,200,1300
2024-03-13,"Danita Dolores",5.10,,https://www.mountainproject.com/route/105870198/danita-dolores,1,"Kentucky > Red River Gorge > Northern Gorge > Military Wall",2.5,-1,Lead,Redpoint,Sport,,60,3000
2024-03-13,"Subatomic Fingerlock",5.10a,,https://www.mountainproject.com/route/105885169/subatomic-fingerlock,1,"Kentucky > Red River Gorge > Northern Gorge > Military Wall",2.6,-1,Lead,Fell/Hung,Trad,,35,2600
2024-03-13,G.I.,"5.7 PG13",,https://www.mountainproject.com/route/105885179/gi,1,"Kentucky > Red River Gorge > Northern Gorge > Military Wall",3.4,-1,Lead,Flash,Trad,,130,1800
2024-03-12,"Mr. P.",5.10d,,https://www.mountainproject.com/route/107921969/mr-p,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",1.9,-1,Lead,Fell/Hung,Sport,,60,3500
2024-03-12,"Robotic Thumb",5.10b,,https://www.mountainproject.com/route/107892930/robotic-thumb,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",3.5,-1,Lead,Onsight,Sport,,60,2900
2024-03-12,Loompa,5.10+,,https://www.mountainproject.com/route/106927842/loompa,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",3.5,-1,Follow,,Sport,,60,3300
2024-03-12,"Sugar Rush",5.9+,,https://www.mountainproject.com/route/107074597/sugar-rush,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.5,-1,Lead,Flash,Sport,,65,2500
2024-03-12,"Grandma Josephine",5.10b,,https://www.mountainproject.com/route/117909365/grandma-josephine,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.5,-1,Lead,Onsight,Sport,,45,2900
2024-03-12,"Throbbing Emotions",5.10a,,https://www.mountainproject.com/route/108064675/throbbing-emotions,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.7,-1,Lead,Flash,Sport,,55,2600
2024-03-12,"Sunday Night Cockfights",5.11b,,https://www.mountainproject.com/route/111378943/sunday-night-cockfights,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.7,-1,TR,,Sport,,55,4900
2024-03-12,"Snarf Victory",5.10c,,https://www.mountainproject.com/route/109480386/snarf-victory,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.1,-1,Lead,Flash,Sport,,60,3200
2024-03-11,"Management Wore Masks",5.8,,https://www.mountainproject.com/route/117081023/management-wore-masks,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",3.6,-1,Lead,Onsight,Sport,,80,2100
2024-03-11,"Red Hot Hoochie Coocher",5.10c,,https://www.mountainproject.com/route/117886431/red-hot-hoochie-coocher,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",2.8,-1,Lead,Fell/Hung,Sport,,70,3200
2024-03-11,"Orchestration For a Dance",5.10c,,https://www.mountainproject.com/route/120736986/orchestration-for-a-dance,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",3.3,-1,Lead,Fell/Hung,Sport,,70,3200
2024-03-11,"Sequence of Events",5.10b,,https://www.mountainproject.com/route/117711374/sequence-of-events,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",3.0,-1,Lead,Onsight,Sport,,80,2900
2024-02-21,"Hobo go Climb a Rock",V2,,https://www.mountainproject.com/route/125893987/hobo-go-climb-a-rock,1,"New Jersey > c. NorthEast > * bouldering Northeast NJ > Crumbly Castle",2.0,-1,Send,,Boulder,,10,20200
2024-02-21,"Up the Downclimb",V0+,,https://www.mountainproject.com/route/125894117/up-the-downclimb,1,"New Jersey > c. NorthEast > * bouldering Northeast NJ > Crumbly Castle",1.0,-1,Send,,Boulder,,10,20010
2024-02-08,"Mental Block","5.11a X",,https://www.mountainproject.com/route/117948563/mental-block,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.7,-1,TR,,"Trad, TR",,30,4600
2024-02-08,"Nurdie Gerdie (aka Dogs in Heat)",5.10+,,https://www.mountainproject.com/route/106788807/nurdie-gerdie-aka-dogs-in-heat,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.4,-1,TR,,Trad,,,3300
2024-02-08,"Dirty Gerdie",5.8+,,https://www.mountainproject.com/route/105846876/dirty-gerdie,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.3,-1,Follow,,Trad,,60,2200
2024-02-08,"Herdie Gerdie",5.8,,https://www.mountainproject.com/route/107074943/herdie-gerdie,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",1.8,-1,TR,,Trad,,80,2100
2024-02-08,Crackatoa,5.9+,,https://www.mountainproject.com/route/113743381/crackatoa,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.7,-1,Lead,Flash,Trad,,30,2500
2024-02-08,"Red Cabbage",5.9-,,https://www.mountainproject.com/route/106010421/red-cabbage,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.1,-1,Lead,Onsight,Trad,,70,2300
2024-02-08,Apoplexy,5.9,,https://www.mountainproject.com/route/105840572/apoplexy,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",3.3,-1,Lead,Flash,Trad,,90,2400
2024-02-08,Retribution,5.10b,,https://www.mountainproject.com/route/105799038/retribution,2,"New York > The Gunks > The Trapps > a1. The Uberfall - left",3.0,-1,Follow,,Trad,,75,2900
2024-02-08,Nosedive,5.10b,,https://www.mountainproject.com/route/105799032/nosedive,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",3.5,-1,Follow,,Trad,,80,2900
2024-02-04,"Yellow Ridge",5.7,"p2,3",https://www.mountainproject.com/route/105799421/yellow-ridge,3,"New York > The Gunks > The Near Trapps > a. Beginning of cliff to Gelsa",3.6,-1,Lead,,Trad,,200,1800
